timestamp,model,round,thread_id,prompt_index,prompt,status_code,success,error,latency_ms,reply_chars,cpu_pct_avg,ram_mb_avg,error_message
2026-03-29T00:08:01,llama3.2:1b,1,bench-llama3.2_1b-r1,1,"Merhaba, kisaca kendini tanit.",200,1,0,8799.35,849,8.6,87.41,
2026-03-29T00:08:09,llama3.2:1b,1,bench-llama3.2_1b-r1,2,Bugun icin 3 maddelik bir calisma plani olustur.,200,1,0,8245.7,953,12.15,115.82,
2026-03-29T00:08:14,llama3.2:1b,1,bench-llama3.2_1b-r1,3,Asagidaki metni tek cumlede ozetle: Yapay zeka arastirmasi hizla gelisiyor.,200,1,0,4435.08,485,11.8,142.7,
2026-03-29T00:08:18,llama3.2:1b,1,bench-llama3.2_1b-r1,4,Kisa bir tesekkur e-postasi taslagi yaz.,200,1,0,3923.05,407,14.35,136.62,
2026-03-29T00:08:33,llama3.2:1b,1,bench-llama3.2_1b-r1,5,Bir toplanti notu icin aksiyon maddeleri cikar.,200,1,0,14643.07,2,25.75,142.23,
2026-03-29T00:09:00,llama3.2:1b,1,bench-llama3.2_1b-r1,6,Bu cumleyi daha resmi yap: yarin goruselim.,200,1,0,27314.93,277,20.05,139.7,
2026-03-29T00:09:09,llama3.2:1b,1,bench-llama3.2_1b-r1,7,Asagidaki metni iki madde halinde ozetle: Proje gizlilik odakli ve yerelde calisir.,200,1,0,9076.86,181,10.85,133.51,
2026-03-29T00:09:12,llama3.2:1b,1,bench-llama3.2_1b-r1,8,"Python'da list comprehension nedir, bir ornek ver.",200,1,0,2647.63,94,13.05,182.98,
2026-03-29T00:09:14,llama3.2:1b,1,bench-llama3.2_1b-r1,9,Sana bir gorev verdigimde nasil adim adim ilerlersin?,200,1,0,1851.72,115,15.25,194.07,
2026-03-29T00:09:24,llama3.2:1b,1,bench-llama3.2_1b-r1,10,Kisa bir motivasyon mesaji yaz.,200,1,0,10490.7,114,15.45,185.23,
2026-03-29T00:09:29,llama3.2:1b,1,bench-llama3.2_1b-r1,11,Bir e-postayi nazikce reddeden cevap yaz.,200,1,0,4121.02,299,13.25,129.93,
2026-03-29T00:09:32,llama3.2:1b,1,bench-llama3.2_1b-r1,12,Ayni bilgiyi teknik olmayan birine anlat.,200,1,0,3159.26,86,10.6,82.41,
2026-03-29T00:09:37,llama3.2:1b,1,bench-llama3.2_1b-r1,13,"Asagidaki metinden anahtar kelimeleri cikar: yerel model, gizlilik, e-posta, ozet.",200,1,0,4831.41,283,9.1,79.5,
2026-03-29T00:09:42,llama3.2:1b,1,bench-llama3.2_1b-r1,14,Takim ici durum guncellemesi icin 4 satirlik metin yaz.,200,1,0,5264.68,369,11.15,75.49,
2026-03-29T00:09:47,llama3.2:1b,1,bench-llama3.2_1b-r1,15,Haftalik hedefleri takip etmek icin basit bir tablo oner.,200,1,0,4982.85,261,12.75,77.49,
2026-03-29T00:10:01,llama3.2:1b,1,bench-llama3.2_1b-r1,16,Asagidaki soruya tek paragrafla cevap ver: Neden cevrimdisi sistem?,200,1,0,13915.15,286,9.25,84.75,
2026-03-29T00:10:15,llama3.2:1b,1,bench-llama3.2_1b-r1,17,Bir kullanicidan eksik bilgi istemek icin kibar bir mesaj yaz.,200,1,0,13586.18,98,12.9,94.8,
2026-03-29T00:10:30,llama3.2:1b,1,bench-llama3.2_1b-r1,18,Bir fikri arti ve eksi yonleriyle degerlendir.,200,1,0,14972.17,203,15.1,80.49,
2026-03-29T00:10:44,llama3.2:1b,1,bench-llama3.2_1b-r1,19,Asagidaki metni daha acik yaz: Model secimi performansi etkiler.,200,1,0,13259.93,490,13.6,74.11,
2026-03-29T00:10:59,llama3.2:1b,1,bench-llama3.2_1b-r1,20,Bugunku isi bitirirken yarin icin kisa bir not birak.,200,1,0,15450.98,43,12.0,70.48,
2026-03-29T00:11:02,llama3.2:1b,2,bench-llama3.2_1b-r2,1,"Merhaba, kisaca kendini tanit.",200,1,0,2198.6,92,14.3,103.61,
2026-03-29T00:11:04,llama3.2:1b,2,bench-llama3.2_1b-r2,2,Bugun icin 3 maddelik bir calisma plani olustur.,200,1,0,2385.61,79,14.05,140.34,
2026-03-29T00:11:06,llama3.2:1b,2,bench-llama3.2_1b-r2,3,Asagidaki metni tek cumlede ozetle: Yapay zeka arastirmasi hizla gelisiyor.,200,1,0,2138.43,66,11.5,137.98,
2026-03-29T00:11:08,llama3.2:1b,2,bench-llama3.2_1b-r2,4,Kisa bir tesekkur e-postasi taslagi yaz.,200,1,0,1866.38,46,13.2,145.41,
2026-03-29T00:11:10,llama3.2:1b,2,bench-llama3.2_1b-r2,5,Bir toplanti notu icin aksiyon maddeleri cikar.,200,1,0,1936.45,54,14.25,150.54,
2026-03-29T00:11:12,llama3.2:1b,2,bench-llama3.2_1b-r2,6,Bu cumleyi daha resmi yap: yarin goruselim.,200,1,0,1771.48,33,13.0,138.17,
2026-03-29T00:11:14,llama3.2:1b,2,bench-llama3.2_1b-r2,7,Asagidaki metni iki madde halinde ozetle: Proje gizlilik odakli ve yerelde calisir.,200,1,0,1962.61,56,14.2,143.04,
2026-03-29T00:11:19,llama3.2:1b,2,bench-llama3.2_1b-r2,8,"Python'da list comprehension nedir, bir ornek ver.",200,1,0,5274.96,295,16.55,141.15,
